QueryId,DocumentId
0,https---www.vmware.com-topics-glossary-content-hypervisor.txt
0,https---www.vmware.com-products-vsphere-hypervisor.txt
0,https---www.vmware.com-topics-glossary-content-cloud-hypervisor.txt
0,https---www.vmware.com-topics-glossary-content-bare-metal-hypervisor.txt
0,https---www.vmware.com-products-esxi-and-esx.txt
1,https---www.vmware.com-topics-glossary-content-hypervisor.txt
1,https---www.vmware.com-products-vsphere-hypervisor.txt
1,https---www.vmware.com-topics-glossary-content-cloud-hypervisor.txt
1,https---www.vmware.com-topics-glossary-content-bare-metal-hypervisor.txt
1,https---www.vmware.com-products-esxi-and-esx.txt
2,https---blogs.vmware.com-affiliates-what-is-vmware-identity-manager-2.txt
2,https---blogs.vmware.com-customer-experience-and-sucess-feed-items-what-is-vmware.txt
2,https---blogs.vmware.com-customer-experience-and-sucess-feed-items-what-is-vmware-vsphere-essentials.txt
2,https---blogs.vmware.com-customer-experience-and-sucess-feed-items-what-is-vmware-vcenter-server.txt
2,https---blogs.vmware.com-customer-experience-and-sucess-feed-items-what-is-vmware-cloud-foundation.txt
3,1003872.txt
3,2125229.txt
3,2035758.txt
3,2048177.txt
3,2044444.txt
4,https---www.vmware.com-solutions-virtualization.txt
4,https---www.vmware.com-topics-glossary-content-virtualized-security.txt
4,https---www.vmware.com-topics-glossary-content-virtual-desktops.txt
4,https---www.vmware.com-topics-glossary-content-virtual-networking.txt
4,https---www.vmware.com-topics-glossary-content-virtual-infrastructure.txt
5,https---www.vmware.com-topics-glossary-content-virtual-machine.txt
5,https---www.vmware.com-solutions-virtualization.txt
5,en-2021-vCloud-Director-8-20-com-vmware-vcloud-user-doc-GUID-5C3F427E-F93D-4B44-A67F-FDB5A2DB665A-html.txt
5,en-2021-vCloud-Director-9-7-com-vmware-vcloud-user-doc-GUID-5C3F427E-F93D-4B44-A67F-FDB5A2DB665A-html.txt
5,en-2021-VMware-Cloud-Director-8-10-com-vmware-vcloud-users-doc_810-GUID-5C3F427E-F93D-4B44-A67F-FDB5A2DB665A-html.txt
6,https---blogs.vmware.com-kb-2013-02-installing-vmware-tools-in-a-ubuntu-virtual-machine.txt
6,1022525.txt
6,1014294.txt
6,2126368.txt
6,1010169.txt
7,2960676.txt
7,2140013.txt
7,716.txt
7,en-2021-VMware-Fusion-8-0-com-vmware-fusion-using-doc-GUID-F2874B79-A32A-4B83-914F-9838372D47CD-html.txt
7,en-2021-VMware-Fusion-10-0-com-vmware-fusion-using-doc-GUID-F2874B79-A32A-4B83-914F-9838372D47CD-html.txt
8,1014294.txt
8,https---blogs.vmware.com-kb-2010-02-how-to-install-vmware-tools-in-a-windows-virtual-machine.txt
8,https---blogs.vmware.com-customer-experience-and-sucess-feed-items-how-to-install-vmware-tools-on-freebsd-server.txt
