QueryId,DocumentId
0,https---www.vmware.com-topics-glossary-content-hypervisor.txt
0,https---www.vmware.com-products-esxi-and-esx.txt
0,https---www.vmware.com-topics-glossary-content-cloud-hypervisor.txt
0,https---www.vmware.com-products-vsphere-hypervisor.txt
0,https---www.vmware.com-topics-glossary-content-hyperconvergence.txt
1,https---www.vmware.com-topics-glossary-content-hypervisor.txt
1,https---www.vmware.com-products-esxi-and-esx.txt
1,https---www.vmware.com-topics-glossary-content-cloud-hypervisor.txt
1,https---www.vmware.com-products-vsphere-hypervisor.txt
1,https---blogs.vmware.com-vmtn-2007-03-hypervisor_that.txt
2,https---blogs.vmware.com-customer-experience-and-sucess-feed-items-what-is-vmware-vsphere-essentials.txt
2,https---www.vmware.com-products-fusion-faq.txt
2,https---blogs.vmware.com-customer-experience-and-sucess-feed-items-what-is-vmware.txt
2,https---blogs.vmware.com-affiliates-what-is-vmware-identity-manager-2.txt
2,https---www.vmware.com-products-horizon.txt
3,1003872.txt
3,2035758.txt
3,2017987.txt
3,2125229.txt
3,2044444.txt
4,https---www.vmware.com-solutions-virtualization.txt
4,https---www.vmware.com-topics-glossary-content-virtualized-security.txt
4,https---www.vmware.com-topics-glossary-content-virtual-networking.txt
4,https---www.vmware.com-topics-glossary-content-virtual-desktops.txt
4,https---www.vmware.com-topics-glossary-content-server-virtualization.txt
5,https---www.vmware.com-topics-glossary-content-virtual-machine.txt
5,https---www.vmware.com-solutions-virtualization.txt
5,en-2021-VMware-Cloud-Director-9-1-com-vmware-vcloud-user-doc-GUID-5C3F427E-F93D-4B44-A67F-FDB5A2DB665A-html.txt
5,en-2021-VMware-Fusion-10-0-com-vmware-fusion-using-doc-GUID-542A97A9-4682-4540-806C-6D19B1A77B02-html.txt
5,en-2021-vCloud-Director-8-20-com-vmware-vcloud-user-doc-GUID-5C3F427E-F93D-4B44-A67F-FDB5A2DB665A-html.txt
6,1014294.txt
6,1022525.txt
6,2126368.txt
6,https---blogs.vmware.com-kb-2013-02-installing-vmware-tools-in-a-ubuntu-virtual-machine.txt
6,1010169.txt
7,2960676.txt
7,716.txt
7,2140013.txt
7,https---blogs.vmware.com-hol-2019-10-how-to-use-vmware-odyssey-for-your-next-game-night-event.txt
7,en-2021-VMware-Fusion-12-com-vmware-fusion-using-doc-GUID-F2874B79-A32A-4B83-914F-9838372D47CD-html.txt
8,1014294.txt
8,https---blogs.vmware.com-kb-2010-02-how-to-install-vmware-tools-in-a-windows-virtual-machine.txt
8,https---blogs.vmware.com-customer-experience-and-sucess-feed-items-how-to-install-vmware-tools-on-freebsd-server.txt
8,https---blogs.vmware.com-kb-2010-02-how-to-install-vmware-tools-in-a-linux-virtual-machine.txt
8,https---blogs.vmware.com-kb-2010-02-how-to-install-vmware-tools-in-a-novell-virtual-machine.txt
9,https---blogs.vmware.com-kb-2010-02-how-to-install-vmware-tools-in-a-linux-vm-using-a-compiler.txt
9,1018414.txt
9,https---blogs.vmware.com-kb-2010-02-how-to-install-vmware-tools-in-a-linux-virtual-machine.txt
9,60262.txt
9,1014294.txt
10,1003872.txt
10,2035758.txt
10,2125229.txt
10,2017987.txt
10,2044444.txt
11,https---www.vmware.com-topics-glossary-content-kubernetes.txt
11,https---www.vmware.com-topics-glossary-content-kubernetes-security.txt
11,https---www.vmware.com-topics-glossary-content-kubernetes-infrastructure.txt
11,https---www.vmware.com-topics-glossary-content-kubernetes-monitoring.txt
11,https---www.vmware.com-topics-glossary-content-kubernetes-deployment.txt
12,https---www.vmware.com-topics-glossary-content-cloud-hypervisor.txt
12,https---www.vmware.com-products-vsphere-hypervisor.txt
12,https---www.vmware.com-topics-glossary-content-hypervisor.txt
12,https---www.vmware.com-topics-glossary-content-hybrid-cloud-computing.txt
12,https---www.vmware.com-topics-glossary-content-bare-metal-hypervisor.txt
13,https---www.vmware.com-topics-glossary-content-virtual-machine.txt
13,https---www.vmware.com-solutions-virtualization.txt
13,https---www.vmware.com-products-vsphere-vmotion.txt
13,en-2021-vCloud-Director-8-20-com-vmware-vcloud-user-doc-GUID-5C3F427E-F93D-4B44-A67F-FDB5A2DB665A-html.txt
13,en-2021-vCloud-Director-8-10-com-vmware-vcloud-users-doc_810-GUID-5C3F427E-F93D-4B44-A67F-FDB5A2DB665A-html.txt
14,71387.txt
14,67362.txt
14,2035831.txt
14,2120514.txt
14,52541.txt
15,https---blogs.vmware.com-kb-2010-04-how-to-create-virtual-machines-and-configure-preferences-in-vmware-workstation.txt
15,en-2021-Horizon-FLEX-1-12-com-vmware-horizon-flex-admin-doc-GUID-3D7BCA2A-35BF-4E03-BDFC-D2ACC460C4E2-html.txt
15,https---blogs.vmware.com-kb-2010-01-how-to-install-windows-in-a-newly-created-vmware-fusion-virtual-machine.txt
15,en-2021-Horizon-FLEX-1-12-com-vmware-horizon-flex-admin-doc-GUID-D3B07AF1-8660-4CC5-8138-47490F1E3661-html.txt
15,2017436.txt
16,1014294.txt
16,https---blogs.vmware.com-kb-2010-02-how-to-install-vmware-tools-in-a-windows-virtual-machine.txt
16,https---blogs.vmware.com-customer-experience-and-sucess-feed-items-how-to-install-vmware-tools-on-freebsd-server.txt
16,https---blogs.vmware.com-kb-2010-02-how-to-install-vmware-tools-in-a-linux-virtual-machine.txt
16,https---blogs.vmware.com-kb-2010-02-how-to-install-vmware-tools-in-a-novell-virtual-machine.txt
17,50114046.txt
17,321902.txt
17,345132.txt
17,81372.txt
17,489757.txt
18,https---www.vmware.com-topics-glossary-content-kubernetes-cluster.txt
18,https---www.vmware.com-topics-glossary-content-kubernetes-monitoring.txt
18,https---www.vmware.com-topics-glossary-content-components-kubernetes.txt
18,https---www.vmware.com-topics-glossary-content-kubernetes.txt
18,https---blogs.vmware.com-management-2020-06-monitor-tanzu-kubernetes-clusters-using-vrealize-operations.txt
19,https---www.vmware.com-products-hyper-converged-infrastructure.txt
19,en-2021-vRealize-Operations-Manager-8-3-com-vmware-vcom-user-doc-GUID-A36FDEFD-3FD4-40EC-B68E-B62A00AD707D-html.txt
19,en-2021-vRealize-Operations-Manager-8-4-com-vmware-vcom-user-doc-GUID-A36FDEFD-3FD4-40EC-B68E-B62A00AD707D-html.txt
19,en-2021-vRealize-Operations-Manager-8-1-com-vmware-vcom-core-doc-GUID-A36FDEFD-3FD4-40EC-B68E-B62A00AD707D-html.txt
19,en-2021-vRealize-Operations-Manager-8-3-com-vmware-vcom-core-doc-GUID-A36FDEFD-3FD4-40EC-B68E-B62A00AD707D-html.txt
20,https---www.vmware.com-topics-glossary-content-disaster-recovery.txt
20,https---www.vmware.com-topics-glossary-content-disaster-recovery-service-draas.txt
20,https---www.vmware.com-products-site-recovery-manager.txt
20,https---blogs.vmware.com-cloudprovider-2014-06-vcloud-hybrid-service-disaster-recovery.txt
20,https---www.vmware.com-products-vsphere-replication.txt
21,en-2021-VMware-vRealize-Network-Insight-5-0-com-vrni-faq-doc-GUID-A5AEB90E-A3C2-45D7-BD5A-B23E45F98687-html.txt
